home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Italy,North Macedonia,0,-60.0,0.5,0.5,0.25,0.25,0.009484731116820699,-6.5,-6.5,-0.0046568627450980365,-0.0046568627450980365,1,0
Moldova,Albania,1,99.0,-1.0,-1.0,1.25,1.25,-0.019511279958726136,0.25,0.25,-0.053122799413898046,-0.053122799413898046,1,0
Finland,Northern Ireland,0,-9.0,-0.75,-0.75,0.0,0.0,-0.0045762928827444965,-36.5,-36.5,0.003605769230769231,0.003605769230769231,1,0
Denmark,Slovenia,0,-42.0,-0.5,-0.5,0.0,0.0,-0.01329923273657289,46.0,46.0,-0.012620192307692304,-0.012620192307692304,1,0
Kazakhstan,San Marino,0,-104.0,0.75,0.75,-2.0,-2.0,0.014590419275882897,7.5,7.5,0.025355113636363634,0.025355113636363634,1,0
Antigua and Barbuda,Puerto Rico,1,-31.0,-1.5,-1.5,1.5,1.5,-0.009893699766658024,15.0,15.0,-0.004412782648823258,-0.004412782648823258,1,0
Jamaica,Canada,1,15.0,1.0,1.0,-3.0,-3.0,-0.03127340823970037,86.8,86.8,0.022107773748284976,0.022107773748284976,1,0
Senegal,South Sudan,0,-149.0,0.16666666666666663,0.16666666666666663,-1.3333333333333335,-1.3333333333333335,0.0029355379822669538,-6.666666666666671,-6.666666666666671,0.011921891058581704,0.011921891058581704,1,0
South Africa,Benin,0,-30.0,-0.8333333333333333,-0.8333333333333333,-1.75,-1.75,-0.0063448590665297275,-19.75,-19.75,0.016804790970569472,0.016804790970569472,1,0
Niger,Tanzania,1,4.0,0.8333333333333333,0.8333333333333333,0.5,0.5,0.0035409932412577127,56.33333333333334,56.33333333333334,-0.011241596312307894,-0.011241596312307894,1,0
France,Gibraltar,0,-196.0,2.25,2.25,-2.5,-2.5,0.08571428571428572,-51.0,-51.0,0.14629380053908356,0.14629380053908356,1,0
Netherlands,Republic of Ireland,0,-46.0,0.5,0.5,-0.75,-0.75,0.025706037404292705,-25.5,-25.5,0.040363064608347626,0.040363064608347626,1,0
Armenia,Wales,1,55.0,-1.6666666666666667,-1.6666666666666667,1.75,1.75,-0.01705023118957545,-22.16666666666667,-22.16666666666667,-0.14331346514182333,-0.14331346514182333,1,0
Latvia,Croatia,1,128.0,-1.666666666666667,-1.666666666666667,1.666666666666667,1.666666666666667,-0.011759851454507945,-42.666666666666664,-42.666666666666664,-0.007462686567164178,-0.007462686567164178,1,0
Belarus,Andorra,0,-56.0,0.75,0.75,-1.5,-1.5,0.010309278350515464,5.75,5.75,0.023511458779315923,0.023511458779315923,1,0
Switzerland,Kosovo,1,-96.0,0.75,0.75,0.5,0.5,-2.3591025973719593e-05,36.5,36.5,-0.02096511820937564,-0.02096511820937564,1,0
Israel,Romania,1,28.0,-1.0,-1.0,0.5,0.5,-0.004824276785409339,-42.25,-42.25,0.014500805881134574,0.014500805881134574,1,0
